Article Title,Author,Journal Title,International,Subjects,Keywords,text
Abstracts.,,Okonomi & Politik,1,COLLECTIVE bargaining; INDUSTRIAL relations; STRIKES & lockouts,,"The article presents abstracts of several studies related to collective bargaining in the public sector in Denmark, including the stance of the private sector on public sector collective bargaining, the survival of the Danish model of industrial relations, and the opinions and intervention in the lockout by primary and secondary school teachers in 2013."
Abstracts.,,Global Environmental Politics,0,ENVIRONMENTAL protection; TRANSPARENCY in government; AARHUS Convention (Organization); SUSTAINABILITY,,"The article presents abstracts of the articles presented in the issue, noting topics that include transparency in global governing of the environment and sustainability, environmental rights and information disclosure under the Aarhus Convention, and government transparency regarding international trade of genetically modified organisms (GMO)."
Abstracts.,,Comparative Politics,0,DEMOCRACY; INCOME distribution; EQUALITY,,"The article presents abstracts on political topics including income disparity in new democracies in Europe, civil society and dimensions of inequality in Poland, and social revolution and civil society in Portugal."
Abstracts.,,Osteuropa,1,"ELECTIONS; CITIES & towns; EUROPE; HAVEL, Vaclav, 1936-2011",,"The article presents abstracts on various topics in Europe, including articles on the condition of towns during the Second World War, the legacy of civil rights activist Vaclav Havel and the 2011 Duma elections in Russia."
Abstracts.,,International Affairs,0,INTERNATIONAL relations; GEOPOLITICS; COMMONWEALTH (Organization); MEDICAL care,,"The article presents abstracts on international affair topics which include the articles ""The South Steam Versus Nabucco Pipeline Race: Geopolitical and Economic (Ir)Rationales and Political Stakes in Mega-Projects,"" ""Commonwealth perspectives on International Relations,"" and ""What Contribution Can International Relations Make to the Evolving Global Health Agenda?"""
Abstracts.,,Osteuropa,1,HISTORIOGRAPHY; ARTISTS -- Europe; CZECH Republic -- Foreign relations -- 1993-,,"Abstracts of research papers published within the issue are presented, including the exile of European artists due to totalitarian systems in Europe, the factors influencing the writing of U.S. history and the founding of the Czechoslovak Republic in the U.S."
Abstracts.,,International Affairs,0,"INTERNATIONAL relations; UKRAINE Conflict, 2014-; ISRAEL -- Politics & government -- 1993-",,"The article presents abstracts on the topic of international affairs including the concept of realism in Western foreign policy, the early 21st century crisis in Ukraine, and the internal debate in Israel concerning a two-state solution to the Israeli-Palestinian conflict."
Abstracts.,,Social Justice,0,"SOCIAL justice; INTERNATIONAL cooperation; REALPOLITIK; RACIALIZATION; IMPRISONMENT; DNA fingerprinting; EGYPTIAN revolution, Egypt, 2011-",,"The article presents abstracts of reports within the issue including ""United States Support for Global Social Justice? Foreign Intervention and Realpolitik in Egypt's Arab Spring"" by Victoria E. Collins and Dawn L. Rothe, ""Convict Race"" : Racialization in the Era of Hyperincarceration"" by Micol Seigel, and ""Coopting the Antiviolence Movement: Why Expanding DNA Surveillance Won't Make Us Safer"" by Megan Sallomi."
Abstracts.,,International Affairs,0,INTERNATIONAL relations; UNITED Nations,,"The article presents abstracts on topics related to international relations such as the founding of the United Nations, international assistance under the Responsibility to Protect agreement, and the authorization of sanctions."
Abstracts.,,Rivista di Studi Politici Internazionali,1,ARMED Forces; INTERNATIONAL competition; TECHNOLOGY research,,"The article presents abstracts on several topics including military force, technological research and international competition."
Abstracts.,,Osteuropa,1,ETHNICITY; JEWS; POLAND; UKRAINE; JEWISH history,,"Abstracts of articles on the history of Jews published within the issue are presented, including ""The ""Jewish Capital of Ukraine"": Memory and the Present in Dnipropetrovsk,"" ""Poles, Jews, Tarnower? The Politicization of Ethnicity in Poland in the 1930s"" and ""On Packed Suitcases: Jewish Life in Szczecin After 1945."""
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,MUNICIPAL government; POWER (Social sciences); PRIVATIZATION; DEMOCRACY; DENMARK; LETTING of contracts,,
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL science; ELECTIONS; INTERNET voting; POLITICAL science -- Study & teaching; GERMANY; TEACHING aids,,"Abstracts on political science research articles are presented, which include such topics as correlations between academic or aristocratic titles and electoral success in Germany, Internet voting in Estonia, and political science indexes."
Abstracts.,,Okonomi & Politik,1,POLITICAL leadership; ORGANIZATIONAL structure; EUROPEAN Union,,"The article presents abstracts on topics related to European Union (EU) politics including the influence of national presidencies on the EU agenda, smart state behavior in the EU, and organizational structure, process and culture in the Danish EU presidency."
Abstracts.,,Revue d'Études Comparatives Est-Ouest,1,EMIGRATION & immigration; ECONOMIC development; SPAIN; FRANCE; ROMANIANS,,"This section presents abstracts of articles in this issue on topics such as Romanian migration to France, the impact of international migrations on economic growth, and Romanian migrants in Spain."
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,POLITICAL participation; MINORITIES; INTERGROUP relations; IMMIGRANTS; DENMARK; SWEDEN; UNITED States,,"The article presents several abstracts including an analysis on political behavior of students, a comparison of ethnic minorities of Denmark, Sweden and the U.S. and the effect of intergroup contact on ethnic tolerance toward European immigrants."
Abstracts.,,Comparative Politics,0,POLITICAL science; NATION building; CAPITAL punishment; MUNICIPAL government,,"Abstracts are presented for several featured articles within the issue, including ""The Noble Enterprise of State Building: Reconsidering the Rise and Fall of the Modern State in Prussia and Poland,"" by Nicholas C. Wheeler, ""International Norms, Domestic Politics, and the Death Penalty: Comparing Japan, South Korea, and Taiwan,"" by Sangmin Bae, and ""Do Participatory Governance Institutions Matter? Municipal Councils and Social Housing Programs in Brazil,"" by Maureen M. Donaghy."
Abstracts.,,Zeitschrift für Internationale Beziehungen (ZIB),1,INTERNATIONAL relations; NONGOVERNMENTAL organizations; INTERNATIONAL organization; SOCIAL norms; RESEARCH,auto-ethnography; autocracy; civil society participation; constructivism; critical norm research; democracy; democratic peace theory; german foreign policy; global governance; grounded theory; international relations; interpretive methodology; knowledge production; ngo-influence; peace; philosophy of science; post-colonialism; post-structuralism; pragmatism; reconstructive methods; security communities; structurationist analysis; un world summit on the information society,"A section of English-language abstracts for the articles in this issue is presented, including research on social norms, international relations, and the role of non-governmental organizations in international government."
Abstracts.,,Okonomi & Politik,1,WELFARE state; EMPLOYMENT; LABOR market,,"The article presents abstracts on topics related to welfare state including reform of the Swedish welfare model, importance of employment to the financial viability of the Nordic welfare state, and the changing labor market in the Nordic region."
Abstracts.,,Okonomi & Politik,1,LABOR unions; FREEDOM of employment; COLLECTIVE labor agreements; LABOR union members; COLLECTIVE bargaining; LABOR arbitration,,"The article presents abstracts of papers published within the issue, including ""Yellow or Red? Introduction of Free Choice in the Union Market"" by Christian Lyhne Ibsen, ""The Christian Trade Union and the Danish Collective Agreement System"" by Emmett Caraker and ""Membership Movements and Crisis in the Danish Model of Labour Market Negotiation"" by Laust Høgedahl."
Abstracts.,,Okonomi & Politik,1,POLITICAL leadership; POLITICIANS; POLITICAL science,,
Abstracts.,,"French Politics, Culture & Society",1,"LES Mandarins (Book); SECOND Sex, The (Book : de Beauvoir); VERY Easy Death, A (Book); BEAUVOIR, Simone de, 1908-1986",,"The article presents abstracts on topics related to the work of author Simone de Beauvoir, including her books ""Les Mandarins,"" ""The Second Sex"" and ""A Very Easy Death."""
Abstracts.,,Comparative Politics,0,AGRICULTURAL policy; NEW left (Politics),,"Abstracts for the articles including “Food and Power: Agricultural Policy Under Democracy and Dictatorship"" by Henry Thomson, ""Beyond the Balance Sheet: Performance, Participation and Regime Support in Latin America"" by Matthew Rhodes-Purdy and ""The Paradox of Adversity: The Contrasting Fates of LatinAmerica's New Left Parties"" by Brandon Van Dyck, are presented."
Abstracts.,,Okonomi & Politik,1,POLITICAL science; CITY council members; STATE-local relations; LOCAL government; MUNICIPAL government,,The article presents abstracts on politics which include the pleasures and challenges of being a councilor and the views of councilors on state-local relations.
Abstracts.,,Defence Studies,0,"MILITARY science; COUNTERINSURGENCY; MALAYA; GREAT Britain; BRITISH military history; MALAYAN Emergency, 1948-1960",,The article presents abstracts on military studies topics which include a study of the history and historiography of the Malayan Emergency; a comparative study of imperial military actions by British and American military forces at the end of the nineteenth century and beginning of the twentieth century with campaigns in the twenty-first century; and a study of the use of Indians in North American and Gaelic Irish in Ireland by British military forces as part of their counterinsurgency tactics between 1500 and 1800.
Abstracts.,,Okonomi & Politik,1,INTERNATIONAL economic relations; GLOBALIZATION; INDUSTRIAL policy; ECONOMIC development; ECONOMIC policy; BRAZIL; 2003-,,"The article presents abstracts on economics which include the crisis of hegemony and the struggle over the next economic world order, an outlook for globalisation, industrial policy and economic development in the 21st century, and Brazil's development strategies."
Abstracts.,,Neue Soziale Bewegungen,1,POLITICAL parties; ELECTORAL coalitions; ELECTIONS; GERMANY,,"The article presents abstracts of articles in this issue in English and in German on such topics as German election campaigns, the German political parties, democratic thinking, and political coalitions."
Abstracts.,,International Affairs,0,COUNTERINSURGENCY; COUNTERTERRORISM; MILITARY strategy; NATIONAL security; MILITARY science; INTERNATIONAL relations; GUERRILLA warfare; GREAT Britain; AFGHANISTAN,,"Abstracts are presented of the articles published in this issue including ""Understanding the Helmand campaign: British military operations in Afghanistan,"" ""Do counterterrorism and counterinsurgency go together?"" and ""Breaking the mould: The United Kingdom Strategic Defense Review 2010."""
Abstracts.,,Politik,1,FREEDOM of religion; DENMARK; HIJAB (Islamic clothing); RELIGION & culture,,
Abstracts.,"Chin, Warren",Defence Studies,0,MILITARY science; AERIAL bombing; AIR warfare; DEFENSE industries; EUROPEAN Defence Agency,,"The article presents abstracts of various research papers on military art and science including one on the politics of U.S. strategic negligence, another on discrimination in aerial bombing, and another on the European Defence Agency (EDA) and Permanent Structured Cooperation."
Abstracts.,,Orient (00305227),1,INTERNATIONAL relations; ENERGY policy; ISLAM & state; CENTRAL Asia,,"The article presents abstracts from articles in the current issue, covering topics such as the foreign policy strategies of the Central Asian Republics, energy security in Central Asia, and political Islam in Central Asia."
Abstracts.,,Osteuropa,1,RADICALISM; HUNGARY; CZECH Republic; EUROPEAN Union membership; HAZARDOUS waste accidents,,"Abstracts of articles published within the issue are presented, including ""The Effects of EU Accession: Transition Countries in East Central and Eastern Europe in Comparison,"" ""Mud Slinging: Hungary: The Dam Break and Its Consequences"" and ""Violence and Ideology: Rightwing Extremism in the Czech Republic."""
Abstracts.,,Vereinte Nationen,1,HUMAN rights; TORTURE; CRUELTY; UNITED Nations,,"The article presents abstracts of papers published in the October 2011 issue of the ""German Review on the United Nations,"" which include the universality of human rights and the conclusions of the six years' work of the United Nations Special Rapporteur on Torture."
Abstracts.,,Osteuropa,1,AUTHORITARIANISM; GOVERNMENT publicity; PUBLIC relations; BELARUS -- Politics & government; TRANSLATIONS of Russian literature; GERMAN language,,"The article presents abstracts of papers published within the issue, including ""The Belarus Case,"" ""Authenticity and Modernity"" and ""Image Cultivation for Authoritarian Regime."""
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL science; GERMANY,,"The article presents abstracts on political topics which include the coalition formation and coalition strategies in Germany's new five party system, the promises of democracy and the limits of deliberation, and nation-state, NGOs and the global governance of migration."
Abstracts.,,Integration (07205120),0,"EURO-Mediterranean Partnership; EUROPEAN Sovereign Debt Crisis, 2009-",,"The article presents abstracts on European Union topics which include the reconstruction of the Economic Monetary Union in times of economic crisis, European energy policy, and the Union for the Mediterranean."
Abstracts.,,Cultures et Conflits,0,POLITICAL systems; SOCIAL conditions of women; RUSSIA; EUROPEAN Council; EUROPEAN Parliament; VIOLENCE against women; WOMEN -- Russia,,"The article presents English abstracts on topics including the process of institutionalizing the field of European power including the European Council, the European Parliament's judicial committee and the European Community's political system during the 1960s, and violence against women in Russia."
Abstracts.,,Politique Internationale,1,WORLD politics; ENVIRONMENTAL activism; DISENGAGEMENT (Military science); ELECTIONS; INTERNATIONAL relations; AUSTRALIA,,"The article presents abstracts on international politics including an interview with former U.S. Vice President Al Gore about his environmental activism, a report on the plan of international coalition troops to pull out of Afghanistan in 2014, and on the upcoming 2013 elections in Australia."
Abstracts.,,International Affairs,0,POLITICAL parties; INTERNATIONAL relations; PEACE; PEACEKEEPING forces; WORLD politics; WORLD Health Organization; UNITED Nations. Security Council; CHINA -- Foreign relations,,
Abstracts.,,Osteuropa,1,OLIGARCHY; DICTATORSHIP; SOCHI (Russia); RUSSIA; EUROPEAN Union; EUROPEAN national characteristics; RUSSIA -- Politics & government -- 1991-,,"The article presents abstracts on European politics which include the efforts made by the European Union (EU) to promote European identity, the emergence of oligarchy and autocracy in Russia since 1990, and the impact of the break up of the Soviet Union on the vacation spot Sochi on the Black Sea coast in Russia."
Abstracts.,,Osteuropa,1,ELECTIONS; INTERNATIONAL relations; WORLD politics; EUROPEAN Union,,"The article presents abstracts of researches, including ""Wake Up Call: Ukraine, the EU, and Tymoshenko Case,"" by Mykola Rianchuk, ""Less Is More: Lessons Learned From Deadlock in the Eastern Partnership,""by E. D. Stratenschulte and W. Priesmeyer-Tkocz, and ""Second Chance for Tusk: The 2011 Parliamentary Election in Poland,"" by Reinhold Vetter."
Abstracts.,,Canadian Foreign Policy (CFP),1,INTERNATIONAL relations; COMPUTER crimes; CYBERTERRORISM; INFORMATION warfare; CANADA; COMPUTER security,,"The article presents abstracts on topics related to Canadian international policy which include policy shift for cyber-crime and cyber-war, Canadian cyber security strategies, and risk to Canada from cyber-threat."
Abstracts.,,Osteuropa,1,HOMOPHOBIA; RUSSIA; BERLIN (Germany); RUSSIAN Orthodox Church; HOMOSEXUALITY,,"The article presents abstracts on homosexuality topics which include the history of homosexuality in Russia, the role of the Russian Orthodox Church in the homophobic campaign, and the fight of a group of Russian-speaking LGBT individuals called Quarteera against homophobia in Berlin, Germany."
Abstracts.,,Vereinte Nationen,1,"INTERNATIONAL relations; NUCLEAR accidents; AFGHANISTAN; UNITED Nations; INTERNATIONAL Atomic Energy Agency; LIBYAN Conflict, 2011-",,"This section presents abstracts on topics related to international relations including the measures launched by the United Nations (UN) against Libya, the role of UN in Afghanistan, and the role of the International Atomic Energy Agency (IAEA) in responding to nuclear accidents."
Abstracts.,,International Affairs,0,RADICALISM; WOMEN'S rights; CHINA -- Foreign relations,,
Abstracts.,,Politix,1,PATRON & client; POLITICAL patronage; POLITICAL science; FACTIONALISM (Politics); UNITED States -- Politics & government,,"this section presents abstracts of articles related to politics including ""Machine Politics in the United States: Clientelism and Immigration Between 1870 and 1950,"" ""The Representation of the Poor: Structuring and Maintaining Political Patronage in a Romanian Town,"" and ""Factionalism as a Form of Social Footing: A Case Study of the Republican People Party (RPP) in Adana, Turkey."""
Abstracts.,,Osteuropa,1,YOUTH -- Political activity; EMIGRATION & immigration; YOUTH; PUNK culture; INTELLECTUAL capital,,"The article presents abstracts on topics related to youth including punk culture in Vorkuta, Russia, political activities of young people in Eastern Europe, and emigration of young Poles from their country to work overseas."
Abstracts.,,Politix,1,WAR; POLITICAL persecution; TALIBAN,,"The article presents abstracts of papers published in this issue including one on war and peace, one on the Taliban Courts in Afghanistan, and one on repression, clientelism and state illegalism in the Chadian inter-war."
Abstracts.,,Okonomi & Politik,1,SOVEREIGNTY; DECISION making in political science; FALSE news (Social media),,
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,ECONOMIC development; CONTRACTING out; PATRIOTISM; UNITED States; DENMARK; MOTION pictures,,"The article presents abstracts on several topics which include the effect of development aid on economic growth of poor countries, economic impact of contracting out in Denmark and the role of representation on the U.S. patriotism in cinema."
Abstracts.,,Zeitschrift für Internationale Beziehungen (ZIB),1,RELIGION & politics; INTERNATIONAL relations; INTERNATIONAL relations theory; SECULARIZATION (Theology),,"Abstracts of articles in this June 2010 issue are presented, which deal with such topics as cultural conflicts, secularism and international relations theory, and the role of religion in international politics."
Abstracts.,,Okonomi & Politik,1,GEOGRAPHY; RURAL development; AGRICULTURE; RURAL geography,,"The article presents abstracts on politics, including discussion of geography as a multi-level political cleavage, the potentials and challenges of rural development and agriculture in Denmark and the effects of remote area designation."
Abstracts.,,Vereinte Nationen,1,"GAZA; UGANDA; UNITED Nations; INTERNATIONAL Criminal Court; GAZA War, 2008-2009; AGGRESSION (Psychology)",,"The article presents abstracts on topics related to the United Nations including the Gaza War of 2008/2009, the relationship between the International Criminal Court and the United Nations, and a compromise on the crime of aggression made in Kampala, Uganda."
Abstracts.,,Osteuropa,1,COMMUNISM; EUROPEAN history; SOVIET Union -- Economic conditions; GERMANY -- Social conditions; SOVIET Union -- Social conditions,,"The article presents abstracts on topics related to European history which include the history of communism, the failure of economic theory in the Soviet Union and the characteristics of communism in Germany."
Abstracts.,,Osteuropa,1,ELECTIONS; JUDICIAL process; ROMANIA; ROMANIA -- Politics & government,,"The article presents abstracts on European politics, including ""Power Struggle in Romania: The Government, the President and the Judiciary,"" by Daniel Ursprung, ""A Lesson in Politics: The Crisis of State in Romania,"" Anneli Ute Gabanyi, and ""The Fist in His Pocket: Election Simulation in Belarus,"" by Valeryi Karbelevich."
Abstracts.,,Osteuropa,1,VETERANS; WORLD War II veterans; SOCIAL conditions; GERONTOLOGY,,"The article presents abstracts of reports published within the issue, including one on personal life experiences contributing to Soviet history, another on the social conditions of Second World War veterans in Ukraine and a report on gerontology in Russia."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL science; GERMANY -- Politics & government,,"Abstracts are presented for the July 2013 issue, including ""Climate of opinion perception during the German federal election 2013: Perceived party popularity and expectations regarding their electoral success,"" by Thomas Zerback, Carsten Reinemann and Angela Nienierza, ""Public support for European integration: an empirical analysis of local politicians,"" by Markus Tausendpfund, and ""How effective are electoral thresholds? The effect of thresholds on the number of parties in the German Bundestag and in international comparison,"" by Thomas Krumm."
Abstracts.,,Defence Studies,0,MILITARY readiness; MILITARY science,,"Abstracts for featured articles within the March 2013 issue are presented, including ""Israel’s Military Options, Challenges and Constraints in an Attack on Iran,"" by Ehud Eliam, ""The A400M Project: From Flagship Project to Warning for European Defence Cooperation,"" by Jocelyn Mawdsley, and ""Armed Forces versus Technologists in India’s Military Modernization,"" by Bibhu Prasad Routray."
Abstracts.,,India Review,1,ECONOMIC development; INDIA; INDIA. Planning Commission; DIFFUSION of innovations; FILM criticism,,"The article presents abstracts on several topics including technological and economic cooperation between India and Africa, the Planning Commission of India, an economic development commission, and an essay on motion picture and media studies in India."
Abstracts.,,Journal of Ayn Rand Studies (Journal of Ayn Rand Studies Foundation),0,CAPITALISM; POLITICAL ethics; LIBERTY; OBJECTIVISM (Philosophy),,"The article presents several abstracts including ""The Logic of Liberty: Aristotle, Ayn Rand, and the Logical Structure of the Political Spectrum,"" by Roger E. Bissell, ""Ayn Rand Shrugged: The Gap between Ethical Egoism and Global Capitalism,"" by Andre Santos Campos, and ""A Defense of Rothbardian Ethics via a Mediation of Hoppe and Rand,"" by Cade Share."
Abstracts.,,Politique Étrangère,1,PUBLIC debts; DEMOCRATIZATION; NUCLEAR energy; INTERNATIONAL Atomic Energy Agency,,"The article presents abstracts on international politics including who are responsible for the sovereign debt crisis in Europe, democratization in China and the action plan of the International Atomic Energy Agency (IAEA) to test emergency procedures and identify nuclear instruments for disposal."
Abstracts.,,Osteuropa,1,POLITICAL science; AUTHORITARIANISM; POLARIZATION (Electricity); POLARIZABILITY (Electricity),,"Abstracts of articles published within the issue are presented including ""Double Polarization,"" by Maria Lipman, ""Cracks in the System,"" by Vladimir Gel'man, and ""Anatomy of a Blockade,"" by Richard Sakwa."
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,SOCIAL science research; GOVERNMENT policy; POLITICAL reform; LAW,,
Abstracts.,,Vereinte Nationen,1,INTERNATIONAL relations; TREATIES; UNITED Nations; EUROPEAN Union,,"The article presents abstracts on international relations and the works of the United Nations (UN) including the participation of the European Union (EU) in specialized agencies and subsidiary organs of the UN, the ramifications of the UN Convention on the Rights of Persons with Disabilities and the legal protection provided to staff members of the UN."
Abstracts.,,Politix,1,EDUCATION policy; EUROPEANIZATION; EDUCATION -- France,,"The article presents abstracts on topics related to French politics, including the state of public school policies in France, changes in school administration, and the Europeanization of the French education system."
Abstracts.,,Osteuropa,1,ELECTIONS; CAPITALISM; EUROPE; HUNGARY -- Politics & government -- 1989-,,"Several abstracts of articles about Europe are presented, including ""Lurch to the Right: The 2010 Parliamentary Elections in Hungary,"" by Kai-Olaf Lang, ""Their Program is Called Destructiveness,"" by Laszlo Kornitzer and ""Capitalism in East-Central Europe,"" by Katharina Bluhm and Vera Trappmann."
Abstracts.,,Osteuropa,1,GREAT powers (International relations); RUSSIA; EUROPEAN Union; ENERGY industries; HYDRAULIC fracturing,,"The article presents abstracts on Russian topics which include Russia's rise to energy great power, the consequences of the fracking boom for the European Union and Russia, and the natural gas in Central Asia and the Caspian Sea area."
Abstracts.,,Vereinte Nationen,1,INTERNATIONAL economic relations; PEACEKEEPING forces; UNITED Nations; INTERNATIONAL Monetary Fund,,"The article presents abstracts on the United Nations (UN) including the challenges faced by the International Monetary Fund (IMF), the role of the UN in global economic governance and the UN peacekeeping mission in the Congo and the protection of civilians."
Abstracts.,,Politique Internationale,1,"WORLD politics; QATAR; REDING, Viviane, 1951-; ABDULLAH II, King of Jordan, 1962-",,"The article presents abstracts on topics related to international politics which include the effort of King Abdullah II of Jordan to preserve stability in his country, the international investments of Qatar, and the pan-European engagement of Viviane Reding of Luxembourg."
Abstracts.,,Vereinte Nationen,1,INTERNATIONAL cooperation; UNITED Nations. Security Council; UNITED Nations. General Assembly; UNITED Nations,,"Abstracts of articles published within the issue are presented, including ""More Transparency and Greater Participation,"" by Helmut Volger, ""Needed: A UN Sciences Adviser,"" by Ramesh Thakur and colleagues, and ""The UN General Assembly's Second Committee,"" by Reinhard Hassenpflug."
Abstracts.,,Politique Internationale,1,"EUROPEAN Union -- Foreign relations; MOROCCO -- Politics & government -- 1999-; MOSCOVICI, Pierre, 1957-; ORBAN, Viktor, 1963-; MOHAMMED VI, King of Morocco, 1963-",,"Abstracts are presented on international policy topics including interviews with several notable politicians including French Minister of Finance Pierre Moscovici and Prime Minister of Hungary Viktor Orban, the European Union's foreign policy, and the social, economic, and political policies of King of Morocco Mohammed VI."
Abstracts.,,International Affairs,0,INTERNATIONAL relations; INTERNATIONALISM; HEGEMONY,,
Abstracts.,,International Affairs,0,IRREGULAR warfare; INFRASTRUCTURE (Economics); DETERRENCE (Military strategy); ISLAMIC State (Organization); IRAN -- Foreign relations -- 1997-,,
Abstracts.,,Osteuropa,1,DEMONSTRATIONS (Collective behavior); INTERNATIONAL relations; EUROPEAN Union -- Foreign relations; RUSSIA -- Foreign relations -- 1991-; UKRAINE -- Foreign relations,,"The article presents abstracts of papers published within the issue which include one on the Russian occupation of Crimea, another on the association agreement between Ukraine and the European Union and the citizens protest in Ukraine."
Abstracts.,,Global Environmental Politics,0,DECISION making; BUSINESS & politics; CLIMATE change; STRATEGIC alliances (Business),,"The article presents abstracts of articles published within the issue including ""This Must Be the Place: Underrepresentation of Identity and Meaning in Climate Change Decision-Making,"" by W. Neil Adger, Jon Barnett, F. S. Chapin III, and Heidi Ellemor, ""The Globalization of Carbon Trading: Transnational Business Coalitions in Climate Politics,"" by Jonas Meckling and ""Financial Activism and Global Climate Change: The Rise of Investor-Driven Governance Networks,"" by Michael MacLeod and Jacob Park."
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,RELIGION & politics; POLITICAL science -- Study & teaching; WAR -- Religious aspects; CHRISTIANITY; JUST war doctrine,,"The article presents abstracts on religion and politics which include the approaches to the study on politics and religion, wars of religion, and Christianity."
Abstracts.,,Vereinte Nationen,1,HUMAN rights; CIVIL war; ASIA; UNITED Nations; PARTI communiste du Kampuchea,,"The article presents abstracts on topics related to the United Nations (UN) and Asia which include China's human rights diplomacy at the UN, the Khmer Rouge tribunal in Cambodia, and the UN and the end of the civil war in Sri Lanka."
Abstracts.,,Vereinte Nationen,1,INTERNATIONAL security; INTERNATIONAL relations; GERMANY; BRAZIL; SOUTH Africa; UNITED Nations. Security Council,,"The article presents abstracts on the United Nations Security Council which include an analysis of Germany's membership in the council, Brazil's tenth tenure as a non-permanent member of the council, and South Africa's second term in the council."
Abstracts.,,Global Environmental Politics,0,NATURE conservation; NEOLIBERALISM; ENVIRONMENTAL policy; PARQUE Nacional Yasuni (Ecuador); ECUADOR; MOUNTAINS,,"The article presents abstracts on articles including ""Conservation’s Friends in High Places: Neoliberalism, Networks, and the Transnational Conservation Elite,"" by George Holmes, ""Global Governance from the Amazon: Leaving Oil Underground in Yasuní National Park, Ecuador,"" by Pamela L. Martin, and ""The Cause of Mountains: The Politics of Promoting a Global Agenda,"" by Gilles Rudaz."
Abstracts.,,Okonomi & Politik,1,DENMARK; TOURISM; TOURIST attractions; PLACE marketing,,"The article presents abstracts on topics related to tourism in Denmark including the challenges in Danish tourism, reform in Danish tourism policy, and Danish nation branding."
Abstracts.,,Comparative Politics,0,COMPARATIVE government; DEMOCRACY; PRESIDENTIAL elections; NEW democracies; OIL consumption; AFRICA,,"Abstracts are presented for articles published in the January 2011 issue of ""Comparative Politics,"" including ""Crisis and Rapid Reequilibration: The Consequences of Presidential Challenge and Failure in Latin America,"" by Kathryn Hochstetler and David Samuels, ""Reworking Strategic Models of Executive-Judicial Relations: Insights from New African Democracies,"" by Peter VonDoepp and Rachel Ellett, and ""The Efficiency of Institutions: Political Determinants of Oil Consumption in Democracies,"" by John S. Duffield and Charles R. Hankla."
Abstracts.,,Comparative Politics,0,COMPARATIVE government; XENOPHOBIA; NEOLIBERALISM,,"The article presents abstracts on comparative politics which include the analysis of ethnicity, national identity, and xenophobia in Russia, neoliberalism and neoliberal reforms in post-communist nations, and police reform in post-communist countries."
Abstracts.,,Revista Española de Ciencia Política,1,DELIBERATIVE democracy; INSTITUTIONAL cooperation; MUNICIPAL services; POLITICAL campaigns; LEGITIMACY of governments; SPAIN; SPAIN -- Politics & government,,"English language abstracts of articles published in the issue are presented, including one on deliberative democracy, another on inter-institutional cooperation in the provision of local government services, and another on the role of electoral campaigns in legitimizing political systems in Spain."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,ECONOMIC development; POLICY networks; GERMANY; EUROPEAN Union countries; EUROPEAN Council; EUROPEAN Union; GERMANY -- Politics & government,,"The article presents three English language abstracts on the subjects of policy networks and legitimate secrets within a democracy, how German chancellors win the trust of members of parliament and cabinet members, and the European growth strategy known as Europe 2020, adopted by the European Council on June 17, 2010."
Abstracts.,,Politik,1,INTERNATIONAL relations; WIKILEAKS (Organization); COMPUTER network resources; WEBSITES,,
Abstracts.,,Osteuropa,1,GANGS; FINANCIAL crises,,"Several abstracts of articles published in this issue are presented including the influence of street gangs on the economy and politics in Russia, the power of President Vladimir Putin over the National Guard paramilitary force and the fundamental crisis in Russia."
Abstracts.,,Politik,1,CRISIS management; DEMOGRAPHIC change; WELFARE state; PUBLIC sector,,
Abstracts.,,Comparative Politics,0,COMPARATIVE government; BRAZIL -- Politics & government,,"The article presents abstracts on comparative politics including environment and consultation in Brazilian democracy, immigrant political economies and exclusionary policy in Africa, and German and Italian work-family policy reforms and Party competition."
Abstracts.,,Comparative Politics,0,POLITICAL science; REGIME change; DEMOCRACY; AUTHORITARIANISM; MEXICO,,"The article presents abstracts of articles presented in the issue including ""Macrofoundations of Regime Change: Democracy, State Formation, and Capitalist Development,"" by Sebastián Mazzuca, ""The Party's Over: Citizen Conceptions of Democracy and Political Dissatisfaction in Mexico,"" by David Crow, and ""Authoritarian States and Voting From Abroad: North African Experiences,"" by Laurie A. Brand."
Abstracts.,,Osteuropa,1,WAR & literature; LITERATURE,,"The article presents abstracts of articles published in this journal including the occupation of Crimea by Russia, the issue of war and peace in Ukraine and Russian literature in German translation in 2013."
Abstracts.,,Politix,1,KEYNESIAN economics; HISTORY & politics; SOCIOLOGY,,"Several abstracts of articles on politics and economics are presented including the sociology of economic policies, history of political ideas with economic and political sociology, and the crisis of keynesian economy."
Abstracts.,,Politique Internationale,1,"INTERVIEWING; PROHOTOV, Mikhail; SQUARCINI, Bernard; PAPANDREOU, Giorgos A., 1952-",,"The article presents abstracts of interviews including Russian businessman Mikhail Prokhotov, former police commissioner Bernard Squarcini, and Prime Minister George Papandreou."
